id,Region,Year,male_participants,female_participants,total_participants,male_participation_rate,female_participation_rate
1972_MAW,MAW,1972,13,3,16,0.813,0.188
1984_MAW,MAW,1984,15,0,15,1,0
1988_MAW,MAW,1988,16,0,16,1,0
1992_MAW,MAW,1992,3,1,4,0.75,0.25
1996_MAW,MAW,1996,2,0,2,1,0
2000_MAW,MAW,2000,1,1,2,0.5,0.5
2004_MAW,MAW,2004,2,2,4,0.5,0.5
2008_MAW,MAW,2008,2,2,4,0.5,0.5
2012_MAW,MAW,2012,1,2,3,0.333,0.667
2016_MAW,MAW,2016,3,2,5,0.6,0.4
1996_MDA,MDA,1996,35,5,40,0.875,0.125
2000_MDA,MDA,2000,29,5,34,0.853,0.147
2004_MDA,MDA,2004,26,7,33,0.788,0.212
2008_MDA,MDA,2008,21,8,29,0.724,0.276
2012_MDA,MDA,2012,12,8,20,0.6,0.4
2016_MDA,MDA,2016,14,9,23,0.609,0.391
1988_MDV,MDV,1988,7,0,7,1,0
1992_MDV,MDV,1992,6,1,7,0.857,0.143
1996_MDV,MDV,1996,5,1,6,0.833,0.167
2000_MDV,MDV,2000,2,2,4,0.5,0.5
2004_MDV,MDV,2004,2,2,4,0.5,0.5
2008_MDV,MDV,2008,2,2,4,0.5,0.5
2012_MDV,MDV,2012,3,2,5,0.6,0.4
2016_MDV,MDV,2016,2,2,4,0.5,0.5
1900_MEX,MEX,1900,3,0,3,1,0
1924_MEX,MEX,1924,15,0,15,1,0
1928_MEX,MEX,1928,35,0,35,1,0
1932_MEX,MEX,1932,71,2,73,0.973,0.027
1936_MEX,MEX,1936,32,0,32,1,0
1948_MEX,MEX,1948,81,7,88,0.92,0.08
1952_MEX,MEX,1952,61,3,64,0.953,0.047
1956_MEX,MEX,1956,21,3,24,0.875,0.125
1960_MEX,MEX,1960,63,6,69,0.913,0.087
1964_MEX,MEX,1964,90,4,94,0.957,0.043
1968_MEX,MEX,1968,233,42,275,0.847,0.153
1972_MEX,MEX,1972,152,22,174,0.874,0.126
1976_MEX,MEX,1976,92,5,97,0.948,0.052
1980_MEX,MEX,1980,36,9,45,0.8,0.2
1984_MEX,MEX,1984,78,22,100,0.78,0.22
1988_MEX,MEX,1988,76,18,94,0.809,0.191
1992_MEX,MEX,1992,92,30,122,0.754,0.246
1996_MEX,MEX,1996,71,27,98,0.724,0.276
2000_MEX,MEX,2000,52,26,78,0.667,0.333
2004_MEX,MEX,2004,59,50,109,0.541,0.459
2008_MEX,MEX,2008,43,40,83,0.518,0.482
2012_MEX,MEX,2012,62,37,99,0.626,0.374
2016_MEX,MEX,2016,79,44,123,0.642,0.358
1964_MGL,MGL,1964,27,7,34,0.794,0.206
1968_MGL,MGL,1968,19,4,23,0.826,0.174
1972_MGL,MGL,1972,41,2,43,0.953,0.047
1976_MGL,MGL,1976,30,2,32,0.938,0.063
1980_MGL,MGL,1980,42,4,46,0.913,0.087
1984_MGL,MGL,1984,4,0,4,1,0
1988_MGL,MGL,1988,26,5,31,0.839,0.161
1992_MGL,MGL,1992,31,6,37,0.838,0.162
1996_MGL,MGL,1996,12,4,16,0.75,0.25
2000_MGL,MGL,2000,12,8,20,0.6,0.4
2004_MGL,MGL,2004,13,7,20,0.65,0.35
2008_MGL,MGL,2008,14,14,28,0.5,0.5
2012_MGL,MGL,2012,16,13,29,0.552,0.448
2016_MGL,MGL,2016,26,17,43,0.605,0.395
2008_MHL,MHL,2008,3,2,5,0.6,0.4
2012_MHL,MHL,2012,2,2,4,0.5,0.5
2016_MHL,MHL,2016,2,3,5,0.4,0.6
1996_MKD,MKD,1996,8,3,11,0.727,0.273
2000_MKD,MKD,2000,6,4,10,0.6,0.4
2004_MKD,MKD,2004,7,3,10,0.7,0.3
2008_MKD,MKD,2008,5,2,7,0.714,0.286
2012_MKD,MKD,2012,2,2,4,0.5,0.5
2016_MKD,MKD,2016,2,4,6,0.333,0.667
1964_MLI,MLI,1964,2,0,2,1,0
1968_MLI,MLI,1968,2,0,2,1,0
1972_MLI,MLI,1972,3,0,3,1,0
1980_MLI,MLI,1980,6,1,7,0.857,0.143
1984_MLI,MLI,1984,4,0,4,1,0
1988_MLI,MLI,1988,5,1,6,0.833,0.167
1992_MLI,MLI,1992,3,2,5,0.6,0.4
1996_MLI,MLI,1996,1,2,3,0.333,0.667
2000_MLI,MLI,2000,3,2,5,0.6,0.4
2004_MLI,MLI,2004,19,2,21,0.905,0.095
2008_MLI,MLI,2008,3,14,17,0.176,0.824
2012_MLI,MLI,2012,4,2,6,0.667,0.333
2016_MLI,MLI,2016,4,2,6,0.667,0.333
1928_MLT,MLT,1928,9,0,9,1,0
1936_MLT,MLT,1936,11,0,11,1,0
1948_MLT,MLT,1948,1,0,1,1,0
1960_MLT,MLT,1960,10,0,10,1,0
1968_MLT,MLT,1968,1,0,1,1,0
1972_MLT,MLT,1972,5,0,5,1,0
1980_MLT,MLT,1980,7,1,8,0.875,0.125
1984_MLT,MLT,1984,5,2,7,0.714,0.286
1988_MLT,MLT,1988,5,1,6,0.833,0.167
1992_MLT,MLT,1992,3,3,6,0.5,0.5
1996_MLT,MLT,1996,4,3,7,0.571,0.429
2000_MLT,MLT,2000,4,3,7,0.571,0.429
2004_MLT,MLT,2004,4,3,7,0.571,0.429
2008_MLT,MLT,2008,3,3,6,0.5,0.5
2012_MLT,MLT,2012,3,2,5,0.6,0.4
2016_MLT,MLT,2016,4,3,7,0.571,0.429
2008_MNE,MNE,2008,17,2,19,0.895,0.105
2012_MNE,MNE,2012,18,15,33,0.545,0.455
2016_MNE,MNE,2016,17,18,35,0.486,0.514
1920_MON,MON,1920,4,0,4,1,0
1924_MON,MON,1924,7,0,7,1,0
1928_MON,MON,1928,10,0,10,1,0
1932_MON,MON,1932,1,0,1,1,0
1936_MON,MON,1936,8,0,8,1,0
1948_MON,MON,1948,4,0,4,1,0
1952_MON,MON,1952,8,0,8,1,0
1960_MON,MON,1960,11,0,11,1,0
1964_MON,MON,1964,1,0,1,1,0
1968_MON,MON,1968,2,0,2,1,0
1972_MON,MON,1972,5,0,5,1,0
1976_MON,MON,1976,8,0,8,1,0
1984_MON,MON,1984,9,0,9,1,0
1988_MON,MON,1988,10,1,11,0.909,0.091
1992_MON,MON,1992,6,1,7,0.857,0.143
1996_MON,MON,1996,2,1,3,0.667,0.333
2000_MON,MON,2000,3,1,4,0.75,0.25
2004_MON,MON,2004,2,1,3,0.667,0.333
2008_MON,MON,2008,4,1,5,0.8,0.2
2012_MON,MON,2012,5,1,6,0.833,0.167
2016_MON,MON,2016,3,0,3,1,0
1980_MOZ,MOZ,1980,12,2,14,0.857,0.143
1984_MOZ,MOZ,1984,8,1,9,0.889,0.111
1988_MOZ,MOZ,1988,6,2,8,0.75,0.25
1992_MOZ,MOZ,1992,3,3,6,0.5,0.5
1996_MOZ,MOZ,1996,2,1,3,0.667,0.333
2000_MOZ,MOZ,2000,2,2,4,0.5,0.5
2004_MOZ,MOZ,2004,2,2,4,0.5,0.5
2008_MOZ,MOZ,2008,2,2,4,0.5,0.5
2012_MOZ,MOZ,2012,4,2,6,0.667,0.333
2016_MOZ,MOZ,2016,5,1,6,0.833,0.167
1984_MRI,MRI,1984,3,1,4,0.75,0.25
1988_MRI,MRI,1988,6,2,8,0.75,0.25
1992_MRI,MRI,1992,6,7,13,0.462,0.538
1996_MRI,MRI,1996,21,5,26,0.808,0.192
2000_MRI,MRI,2000,16,4,20,0.8,0.2
2004_MRI,MRI,2004,6,3,9,0.667,0.333
2008_MRI,MRI,2008,6,5,11,0.545,0.455
2012_MRI,MRI,2012,4,7,11,0.364,0.636
2016_MRI,MRI,2016,5,6,11,0.455,0.545
1984_MTN,MTN,1984,2,0,2,1,0
1988_MTN,MTN,1988,6,0,6,1,0
1992_MTN,MTN,1992,6,0,6,1,0
1996_MTN,MTN,1996,4,0,4,1,0
2000_MTN,MTN,2000,1,1,2,0.5,0.5
2004_MTN,MTN,2004,1,1,2,0.5,0.5
2008_MTN,MTN,2008,1,1,2,0.5,0.5
2012_MTN,MTN,2012,1,1,2,0.5,0.5
2016_MTN,MTN,2016,1,1,2,0.5,0.5
1948_MYA,MYA,1948,4,0,4,1,0
1952_MYA,MYA,1952,5,0,5,1,0
1956_MYA,MYA,1956,11,0,11,1,0
1960_MYA,MYA,1960,10,0,10,1,0
1964_MYA,MYA,1964,11,0,11,1,0
1968_MYA,MYA,1968,4,0,4,1,0
1972_MYA,MYA,1972,18,0,18,1,0
1980_MYA,MYA,1980,2,0,2,1,0
1984_MYA,MYA,1984,1,0,1,1,0
1988_MYA,MYA,1988,0,2,2,0,1
1992_MYA,MYA,1992,1,3,4,0.25,0.75
1996_MYA,MYA,1996,2,1,3,0.667,0.333
2000_MYA,MYA,2000,1,6,7,0.143,0.857
2004_MYA,MYA,2004,0,2,2,0,1
2008_MYA,MYA,2008,4,2,6,0.667,0.333
2012_MYA,MYA,2012,3,3,6,0.5,0.5
2016_MYA,MYA,2016,4,3,7,0.571,0.429
1992_NAM,NAM,1992,5,1,6,0.833,0.167
1996_NAM,NAM,1996,6,2,8,0.75,0.25
2000_NAM,NAM,2000,9,2,11,0.818,0.182
2004_NAM,NAM,2004,7,1,8,0.875,0.125
2008_NAM,NAM,2008,6,4,10,0.6,0.4
2012_NAM,NAM,2012,5,4,9,0.556,0.444
2016_NAM,NAM,2016,4,6,10,0.4,0.6
1956_NBO,NBO,1956,2,0,2,1,0
1968_NCA,NCA,1968,11,0,11,1,0
1972_NCA,NCA,1972,7,1,8,0.875,0.125
1976_NCA,NCA,1976,15,0,15,1,0
1980_NCA,NCA,1980,3,2,5,0.6,0.4
1984_NCA,NCA,1984,5,0,5,1,0
1992_NCA,NCA,1992,7,1,8,0.875,0.125
1996_NCA,NCA,1996,25,1,26,0.962,0.038
2000_NCA,NCA,2000,4,2,6,0.667,0.333
2004_NCA,NCA,2004,2,3,5,0.4,0.6
2008_NCA,NCA,2008,3,3,6,0.5,0.5
2012_NCA,NCA,2012,3,3,6,0.5,0.5
2016_NCA,NCA,2016,3,2,5,0.6,0.4
1900_NED,NED,1900,35,0,35,1,0
1908_NED,NED,1908,113,0,113,1,0
1912_NED,NED,1912,33,0,33,1,0
1920_NED,NED,1920,129,1,130,0.992,0.008
1924_NED,NED,1924,168,9,177,0.949,0.051
1928_NED,NED,1928,229,44,273,0.839,0.161
1932_NED,NED,1932,31,15,46,0.674,0.326
1936_NED,NED,1936,151,22,173,0.873,0.127
1948_NED,NED,1948,119,34,153,0.778,0.222
1952_NED,NED,1952,87,28,115,0.757,0.243
1956_NED,NED,1956,7,2,9,0.778,0.222
1960_NED,NED,1960,85,32,117,0.726,0.274
1964_NED,NED,1964,109,22,131,0.832,0.168
1968_NED,NED,1968,86,30,116,0.741,0.259
1972_NED,NED,1972,95,35,130,0.731,0.269
1976_NED,NED,1976,75,40,115,0.652,0.348
1980_NED,NED,1980,82,22,104,0.788,0.212
1984_NED,NED,1984,91,58,149,0.611,0.389
1988_NED,NED,1988,99,59,158,0.627,0.373
1992_NED,NED,1992,126,94,220,0.573,0.427
1996_NED,NED,1996,137,102,239,0.573,0.427
2000_NED,NED,2000,147,84,231,0.636,0.364
2004_NED,NED,2004,134,76,210,0.638,0.362
2008_NED,NED,2008,139,98,237,0.586,0.414
2012_NED,NED,2012,94,79,173,0.543,0.457
2016_NED,NED,2016,105,132,237,0.443,0.557
1924_NEP,NEP,1924,1,0,1,1,0
1964_NEP,NEP,1964,6,0,6,1,0
1972_NEP,NEP,1972,2,0,2,1,0
1976_NEP,NEP,1976,1,0,1,1,0
1980_NEP,NEP,1980,10,0,10,1,0
1984_NEP,NEP,1984,10,0,10,1,0
1988_NEP,NEP,1988,13,3,16,0.813,0.188
1992_NEP,NEP,1992,1,1,2,0.5,0.5
1996_NEP,NEP,1996,3,3,6,0.5,0.5
2000_NEP,NEP,2000,2,3,5,0.4,0.6
2004_NEP,NEP,2004,3,3,6,0.5,0.5
2008_NEP,NEP,2008,4,4,8,0.5,0.5
2012_NEP,NEP,2012,2,3,5,0.4,0.6
2016_NEP,NEP,2016,3,4,7,0.429,0.571
1904_NFL,NFL,1904,1,0,1,1,0
1952_NGR,NGR,1952,9,0,9,1,0
1956_NGR,NGR,1956,10,0,10,1,0
1960_NGR,NGR,1960,12,0,12,1,0
1964_NGR,NGR,1964,16,2,18,0.889,0.111
1968_NGR,NGR,1968,31,5,36,0.861,0.139
1972_NGR,NGR,1972,20,5,25,0.8,0.2
1980_NGR,NGR,1980,38,6,44,0.864,0.136
1984_NGR,NGR,1984,30,2,32,0.938,0.063
1988_NGR,NGR,1988,61,8,69,0.884,0.116
1992_NGR,NGR,1992,32,23,55,0.582,0.418
1996_NGR,NGR,1996,49,16,65,0.754,0.246
2000_NGR,NGR,2000,44,39,83,0.53,0.47
2004_NGR,NGR,2004,24,46,70,0.343,0.657
2008_NGR,NGR,2008,37,37,74,0.5,0.5
2012_NGR,NGR,2012,30,19,49,0.612,0.388
2016_NGR,NGR,2016,47,24,71,0.662,0.338
1964_NIG,NIG,1964,1,0,1,1,0
1968_NIG,NIG,1968,2,0,2,1,0
1972_NIG,NIG,1972,4,0,4,1,0
1984_NIG,NIG,1984,4,0,4,1,0
1988_NIG,NIG,1988,6,0,6,1,0
1992_NIG,NIG,1992,3,0,3,1,0
1996_NIG,NIG,1996,2,1,3,0.667,0.333
2000_NIG,NIG,2000,2,2,4,0.5,0.5
2004_NIG,NIG,2004,3,1,4,0.75,0.25
2008_NIG,NIG,2008,2,2,4,0.5,0.5
2012_NIG,NIG,2012,4,2,6,0.667,0.333
2016_NIG,NIG,2016,4,2,6,0.667,0.333
1900_NOR,NOR,1900,7,0,7,1,0
1904_NOR,NOR,1904,3,0,3,1,0
1908_NOR,NOR,1908,69,0,69,1,0
1912_NOR,NOR,1912,188,2,190,0.989,0.011
1920_NOR,NOR,1920,187,6,193,0.969,0.031
1924_NOR,NOR,1924,73,3,76,0.961,0.039
1928_NOR,NOR,1928,73,3,76,0.961,0.039
1932_NOR,NOR,1932,24,2,26,0.923,0.077
1936_NOR,NOR,1936,92,8,100,0.92,0.08
1948_NOR,NOR,1948,122,8,130,0.938,0.062
1952_NOR,NOR,1952,156,17,173,0.902,0.098
1956_NOR,NOR,1956,56,11,67,0.836,0.164
1960_NOR,NOR,1960,64,5,69,0.928,0.072
1964_NOR,NOR,1964,75,9,84,0.893,0.107
1968_NOR,NOR,1968,92,19,111,0.829,0.171
1972_NOR,NOR,1972,157,22,179,0.877,0.123
1976_NOR,NOR,1976,94,13,107,0.879,0.121
1980_NOR,NOR,1980,54,9,63,0.857,0.143
1984_NOR,NOR,1984,134,27,161,0.832,0.168
1988_NOR,NOR,1988,97,35,132,0.735,0.265
1992_NOR,NOR,1992,111,51,162,0.685,0.315
1996_NOR,NOR,1996,42,55,97,0.433,0.567
2000_NOR,NOR,2000,44,49,93,0.473,0.527
2004_NOR,NOR,2004,35,17,52,0.673,0.327
2008_NOR,NOR,2008,30,54,84,0.357,0.643
2012_NOR,NOR,2012,33,28,61,0.541,0.459
2016_NOR,NOR,2016,29,33,62,0.468,0.532
1996_NRU,NRU,1996,3,0,3,1,0
2000_NRU,NRU,2000,1,1,2,0.5,0.5
2004_NRU,NRU,2004,2,1,3,0.667,0.333
2008_NRU,NRU,2008,1,0,1,1,0
2012_NRU,NRU,2012,2,0,2,1,0
2016_NRU,NRU,2016,2,0,2,1,0
1900_NZL,NZL,1900,1,0,1,1,0
1920_NZL,NZL,1920,3,1,4,0.75,0.25
1924_NZL,NZL,1924,3,1,4,0.75,0.25
1928_NZL,NZL,1928,6,3,9,0.667,0.333
1932_NZL,NZL,1932,20,1,21,0.952,0.048
1936_NZL,NZL,1936,7,0,7,1,0
1948_NZL,NZL,1948,6,1,7,0.857,0.143
1952_NZL,NZL,1952,14,3,17,0.824,0.176
1956_NZL,NZL,1956,43,8,51,0.843,0.157
1960_NZL,NZL,1960,35,6,41,0.854,0.146
1964_NZL,NZL,1964,56,8,64,0.875,0.125
1968_NZL,NZL,1968,51,7,58,0.879,0.121
1972_NZL,NZL,1972,84,7,91,0.923,0.077
1976_NZL,NZL,1976,74,11,85,0.871,0.129
1980_NZL,NZL,1980,7,2,9,0.778,0.222
1984_NZL,NZL,1984,102,34,136,0.75,0.25
1988_NZL,NZL,1988,74,17,91,0.813,0.187
1992_NZL,NZL,1992,96,43,139,0.691,0.309
1996_NZL,NZL,1996,66,29,95,0.695,0.305
2000_NZL,NZL,2000,77,70,147,0.524,0.476
2004_NZL,NZL,2004,81,67,148,0.547,0.453
2008_NZL,NZL,2008,96,82,178,0.539,0.461
2012_NZL,NZL,2012,96,82,178,0.539,0.461
2016_NZL,NZL,2016,98,97,195,0.503,0.497
1984_OMA,OMA,1984,16,0,16,1,0
1988_OMA,OMA,1988,8,0,8,1,0
1992_OMA,OMA,1992,5,0,5,1,0
1996_OMA,OMA,1996,4,0,4,1,0
2000_OMA,OMA,2000,6,0,6,1,0
2004_OMA,OMA,2004,2,0,2,1,0
2008_OMA,OMA,2008,3,1,4,0.75,0.25
2012_OMA,OMA,2012,2,1,3,0.667,0.333
2016_OMA,OMA,2016,2,2,4,0.5,0.5
1948_PAK,PAK,1948,35,0,35,1,0
1952_PAK,PAK,1952,38,0,38,1,0
1956_PAK,PAK,1956,55,0,55,1,0
1960_PAK,PAK,1960,44,0,44,1,0
1964_PAK,PAK,1964,41,0,41,1,0
1968_PAK,PAK,1968,15,0,15,1,0
1972_PAK,PAK,1972,25,0,25,1,0
1976_PAK,PAK,1976,24,0,24,1,0
1984_PAK,PAK,1984,31,0,31,1,0
1988_PAK,PAK,1988,30,0,30,1,0
1992_PAK,PAK,1992,27,0,27,1,0
1996_PAK,PAK,1996,23,1,24,0.958,0.042
2000_PAK,PAK,2000,26,1,27,0.963,0.037
2004_PAK,PAK,2004,24,2,26,0.923,0.077
2008_PAK,PAK,2008,19,2,21,0.905,0.095
2012_PAK,PAK,2012,19,2,21,0.905,0.095
2016_PAK,PAK,2016,4,3,7,0.571,0.429
1928_PAN,PAN,1928,1,0,1,1,0
1948_PAN,PAN,1948,1,0,1,1,0
1952_PAN,PAN,1952,1,0,1,1,0
1960_PAN,PAN,1960,2,4,6,0.333,0.667
1964_PAN,PAN,1964,6,4,10,0.6,0.4
1968_PAN,PAN,1968,16,0,16,1,0
1972_PAN,PAN,1972,7,0,7,1,0
1976_PAN,PAN,1976,7,1,8,0.875,0.125
1984_PAN,PAN,1984,7,1,8,0.875,0.125
1988_PAN,PAN,1988,6,0,6,1,0
1992_PAN,PAN,1992,5,0,5,1,0
1996_PAN,PAN,1996,5,2,7,0.714,0.286
2000_PAN,PAN,2000,4,2,6,0.667,0.333
2004_PAN,PAN,2004,3,1,4,0.75,0.25
2008_PAN,PAN,2008,3,2,5,0.6,0.4
2012_PAN,PAN,2012,6,2,8,0.75,0.25
2016_PAN,PAN,2016,4,6,10,0.4,0.6
1968_PAR,PAR,1968,1,0,1,1,0
1972_PAR,PAR,1972,3,0,3,1,0
1976_PAR,PAR,1976,4,0,4,1,0
1984_PAR,PAR,1984,14,0,14,1,0
1988_PAR,PAR,1988,10,0,10,1,0
1992_PAR,PAR,1992,24,3,27,0.889,0.111
1996_PAR,PAR,1996,6,1,7,0.857,0.143
2000_PAR,PAR,2000,2,3,5,0.4,0.6
2004_PAR,PAR,2004,20,2,22,0.909,0.091
2008_PAR,PAR,2008,3,4,7,0.429,0.571
2012_PAR,PAR,2012,4,4,8,0.5,0.5
2016_PAR,PAR,2016,6,5,11,0.545,0.455
1900_PER,PER,1900,1,0,1,1,0
1932_PER,PER,1932,2,0,2,1,0
1936_PER,PER,1936,40,0,40,1,0
1948_PER,PER,1948,41,0,41,1,0
1956_PER,PER,1956,8,0,8,1,0
1960_PER,PER,1960,31,0,31,1,0
1964_PER,PER,1964,30,1,31,0.968,0.032
1968_PER,PER,1968,16,12,28,0.571,0.429
1972_PER,PER,1972,17,3,20,0.85,0.15
1976_PER,PER,1976,0,13,13,0,1
1980_PER,PER,1980,14,14,28,0.5,0.5
1984_PER,PER,1984,19,16,35,0.543,0.457
1988_PER,PER,1988,7,14,21,0.333,0.667
1992_PER,PER,1992,12,4,16,0.75,0.25
1996_PER,PER,1996,15,14,29,0.517,0.483
2000_PER,PER,2000,8,13,21,0.381,0.619
2004_PER,PER,2004,7,5,12,0.583,0.417
2008_PER,PER,2008,7,6,13,0.538,0.462
2012_PER,PER,2012,9,7,16,0.563,0.438
2016_PER,PER,2016,17,12,29,0.586,0.414
1924_PHI,PHI,1924,1,0,1,1,0
1928_PHI,PHI,1928,4,0,4,1,0
1932_PHI,PHI,1932,8,0,8,1,0
1936_PHI,PHI,1936,28,0,28,1,0
1948_PHI,PHI,1948,26,0,26,1,0
1952_PHI,PHI,1952,25,0,25,1,0
1956_PHI,PHI,1956,35,4,39,0.897,0.103
1960_PHI,PHI,1960,36,4,40,0.9,0.1
1964_PHI,PHI,1964,40,7,47,0.851,0.149
1968_PHI,PHI,1968,45,4,49,0.918,0.082
1972_PHI,PHI,1972,50,5,55,0.909,0.091
1976_PHI,PHI,1976,13,1,14,0.929,0.071
1984_PHI,PHI,1984,15,4,19,0.789,0.211
1988_PHI,PHI,1988,27,5,32,0.844,0.156
1992_PHI,PHI,1992,25,2,27,0.926,0.074
1996_PHI,PHI,1996,8,4,12,0.667,0.333
2000_PHI,PHI,2000,11,9,20,0.55,0.45
2004_PHI,PHI,2004,12,4,16,0.75,0.25
2008_PHI,PHI,2008,10,5,15,0.667,0.333
2012_PHI,PHI,2012,7,4,11,0.636,0.364
2016_PHI,PHI,2016,7,6,13,0.538,0.462
1996_PLE,PLE,1996,1,0,1,1,0
2000_PLE,PLE,2000,1,1,2,0.5,0.5
2004_PLE,PLE,2004,2,1,3,0.667,0.333
2008_PLE,PLE,2008,2,2,4,0.5,0.5
2012_PLE,PLE,2012,3,2,5,0.6,0.4
2016_PLE,PLE,2016,4,2,6,0.667,0.333
2000_PLW,PLW,2000,2,3,5,0.4,0.6
2004_PLW,PLW,2004,2,2,4,0.5,0.5
2008_PLW,PLW,2008,3,2,5,0.6,0.4
2012_PLW,PLW,2012,2,3,5,0.4,0.6
2016_PLW,PLW,2016,3,2,5,0.6,0.4
1976_PNG,PNG,1976,6,0,6,1,0
1984_PNG,PNG,1984,4,3,7,0.571,0.429
1988_PNG,PNG,1988,9,2,11,0.818,0.182
1992_PNG,PNG,1992,12,1,13,0.923,0.077
1996_PNG,PNG,1996,11,0,11,1,0
2000_PNG,PNG,2000,2,3,5,0.4,0.6
2004_PNG,PNG,2004,2,2,4,0.5,0.5
2008_PNG,PNG,2008,3,4,7,0.429,0.571
2012_PNG,PNG,2012,4,4,8,0.5,0.5
2016_PNG,PNG,2016,6,2,8,0.75,0.25
1912_POL,POL,1912,1,0,1,1,0
1924_POL,POL,1924,71,1,72,0.986,0.014
1928_POL,POL,1928,106,11,117,0.906,0.094
1932_POL,POL,1932,57,9,66,0.864,0.136
1936_POL,POL,1936,147,17,164,0.896,0.104
1948_POL,POL,1948,60,7,67,0.896,0.104
1952_POL,POL,1952,130,25,155,0.839,0.161
1956_POL,POL,1956,93,22,115,0.809,0.191
1960_POL,POL,1960,163,35,198,0.823,0.177
1964_POL,POL,1964,155,36,191,0.812,0.188
1968_POL,POL,1968,163,45,208,0.784,0.216
1972_POL,POL,1972,291,46,337,0.864,0.136
1976_POL,POL,1976,223,40,263,0.848,0.152
1980_POL,POL,1980,261,75,336,0.777,0.223
1984_POL,POL,1984,24,6,30,0.8,0.2
1988_POL,POL,1988,139,36,175,0.794,0.206
1992_POL,POL,1992,190,64,254,0.748,0.252
1996_POL,POL,1996,126,39,165,0.764,0.236
2000_POL,POL,2000,129,58,187,0.69,0.31
2004_POL,POL,2004,132,62,194,0.68,0.32
2008_POL,POL,2008,156,101,257,0.607,0.393
2012_POL,POL,2012,124,86,210,0.59,0.41
2016_POL,POL,2016,139,95,234,0.594,0.406
1912_POR,POR,1912,6,0,6,1,0
1920_POR,POR,1920,13,0,13,1,0
1924_POR,POR,1924,28,0,28,1,0
1928_POR,POR,1928,32,0,32,1,0
1932_POR,POR,1932,6,0,6,1,0
1936_POR,POR,1936,19,0,19,1,0
1948_POR,POR,1948,48,0,48,1,0
1952_POR,POR,1952,69,3,72,0.958,0.042
1956_POR,POR,1956,12,0,12,1,0
1960_POR,POR,1960,60,5,65,0.923,0.077
1964_POR,POR,1964,19,1,20,0.95,0.05
1968_POR,POR,1968,19,1,20,0.95,0.05
1972_POR,POR,1972,29,0,29,1,0
1976_POR,POR,1976,19,0,19,1,0
1980_POR,POR,1980,10,1,11,0.909,0.091
1984_POR,POR,1984,29,9,38,0.763,0.237
1988_POR,POR,1988,60,10,70,0.857,0.143
1992_POR,POR,1992,68,22,90,0.756,0.244
1996_POR,POR,1996,83,24,107,0.776,0.224
2000_POR,POR,2000,48,13,61,0.787,0.213
2004_POR,POR,2004,64,17,81,0.79,0.21
2008_POR,POR,2008,51,26,77,0.662,0.338
2012_POR,POR,2012,44,32,76,0.579,0.421
2016_POR,POR,2016,61,29,90,0.678,0.322
1964_PRK,PRK,1964,6,7,13,0.462,0.538
1972_PRK,PRK,1972,23,20,43,0.535,0.465
1976_PRK,PRK,1976,36,2,38,0.947,0.053
1980_PRK,PRK,1980,39,8,47,0.83,0.17
1984_PRK,PRK,1984,3,3,6,0.5,0.5
1988_PRK,PRK,1988,3,3,6,0.5,0.5
1992_PRK,PRK,1992,45,39,84,0.536,0.464
1996_PRK,PRK,1996,15,9,24,0.625,0.375
2000_PRK,PRK,2000,14,17,31,0.452,0.548
2004_PRK,PRK,2004,13,23,36,0.361,0.639
2008_PRK,PRK,2008,21,37,58,0.362,0.638
2012_PRK,PRK,2012,15,37,52,0.288,0.712
2016_PRK,PRK,2016,11,20,31,0.355,0.645
1948_PUR,PUR,1948,9,0,9,1,0
1952_PUR,PUR,1952,21,0,21,1,0
1956_PUR,PUR,1956,10,0,10,1,0
1960_PUR,PUR,1960,26,1,27,0.963,0.037
1964_PUR,PUR,1964,30,2,32,0.938,0.063
1968_PUR,PUR,1968,54,4,58,0.931,0.069
1972_PUR,PUR,1972,53,0,53,1,0
1976_PUR,PUR,1976,73,7,80,0.912,0.087
1980_PUR,PUR,1980,3,0,3,1,0
1984_PUR,PUR,1984,44,8,52,0.846,0.154
1988_PUR,PUR,1988,52,4,56,0.929,0.071
1992_PUR,PUR,1992,71,6,77,0.922,0.078
1996_PUR,PUR,1996,47,22,69,0.681,0.319
2000_PUR,PUR,2000,23,6,29,0.793,0.207
2004_PUR,PUR,2004,32,11,43,0.744,0.256
2008_PUR,PUR,2008,17,5,22,0.773,0.227
2012_PUR,PUR,2012,19,6,25,0.76,0.24
2016_PUR,PUR,2016,13,27,40,0.325,0.675
1984_QAT,QAT,1984,24,0,24,1,0
1988_QAT,QAT,1988,10,0,10,1,0
1992_QAT,QAT,1992,28,0,28,1,0
1996_QAT,QAT,1996,12,0,12,1,0
2000_QAT,QAT,2000,17,0,17,1,0
2004_QAT,QAT,2004,15,0,15,1,0
2008_QAT,QAT,2008,20,0,20,1,0
2012_QAT,QAT,2012,8,4,12,0.667,0.333
2016_QAT,QAT,2016,35,2,37,0.946,0.054
1960_RHO,RHO,1960,9,1,10,0.9,0.1
2016_ROT,ROT,2016,6,4,10,0.6,0.4
1900_ROU,ROU,1900,1,0,1,1,0
1924_ROU,ROU,1924,35,0,35,1,0
1928_ROU,ROU,1928,29,2,31,0.935,0.065
1932_ROU,ROU,1932,5,0,5,1,0
1936_ROU,ROU,1936,65,3,68,0.956,0.044
1948_ROU,ROU,1948,7,0,7,1,0
1952_ROU,ROU,1952,119,11,130,0.915,0.085
