id,Region,Year,male_medal_efficiency,female_medal_efficiency,total_medal_efficiency
1996_CAM,CAM,1996,0,0,0
2000_CAM,CAM,2000,0,0,0
2004_CAM,CAM,2004,0,0,0
2008_CAM,CAM,2008,0,0,0
2012_CAM,CAM,2012,0,0,0
2016_CAM,CAM,2016,0,0,0
1900_CAN,CAN,1900,1.25,0,1.25
1904_CAN,CAN,1904,2.464,0,2.464
1906_CAN,CAN,1906,2,0,2
1908_CAN,CAN,1908,1.034,0,1.034
1912_CAN,CAN,1912,0.297,0,0.297
1920_CAN,CAN,1920,0.942,0,0.942
1924_CAN,CAN,1924,0.987,0,0.974
1928_CAN,CAN,1928,0.927,2.3,1.076
1932_CAN,CAN,1932,0.837,0.333,0.764
1936_CAN,CAN,1936,0.574,0.2,0.5
1948_CAN,CAN,1948,0.415,0.36,0.406
1952_CAN,CAN,1952,0.586,0,0.514
1956_CAN,CAN,1956,0.565,0.174,0.496
1960_CAN,CAN,1960,0.528,0.381,0.504
1964_CAN,CAN,1964,0.225,0.094,0.2
1968_CAN,CAN,1968,0.194,0.233,0.202
1972_CAN,CAN,1972,0.053,0.074,0.059
1976_CAN,CAN,1976,0.057,0.097,0.07
1980_CAN,CAN,1980,0.073,0,0.051
1984_CAN,CAN,1984,0.323,0.392,0.348
1988_CAN,CAN,1988,0.069,0.126,0.086
1992_CAN,CAN,1992,0.438,0.303,0.39
1994_CAN,CAN,1994,0.818,0.31,0.663
1996_CAN,CAN,1996,0.23,0.377,0.304
1998_CAN,CAN,1998,0.543,1.19,0.826
2000_CAN,CAN,2000,0.14,0.181,0.16
2002_CAN,CAN,2002,1.435,1.646,1.527
2004_CAN,CAN,2004,0.177,0.098,0.137
2006_CAN,CAN,2006,0.454,1.494,0.906
2008_CAN,CAN,2008,0.349,0.11,0.244
2010_CAN,CAN,2010,1.407,1.534,1.463
2012_CAN,CAN,2012,0.235,0.331,0.289
2014_CAN,CAN,2014,1.124,1.427,1.258
2016_CAN,CAN,2016,0.094,0.355,0.248
1976_CAY,CAY,1976,0,0,0
1984_CAY,CAY,1984,0,0,0
1988_CAY,CAY,1988,0,0,0
1992_CAY,CAY,1992,0,0,0
1996_CAY,CAY,1996,0,0,0
2000_CAY,CAY,2000,0,0,0
2004_CAY,CAY,2004,0,0,0
2008_CAY,CAY,2008,0,0,0
2010_CAY,CAY,2010,0,0,0
2012_CAY,CAY,2012,0,0,0
2014_CAY,CAY,2014,0,0,0
2016_CAY,CAY,2016,0,0,0
1964_CGO,CGO,1964,0,0,0
1972_CGO,CGO,1972,0,0,0
1980_CGO,CGO,1980,0,0,0
1984_CGO,CGO,1984,0,0,0
1988_CGO,CGO,1988,0,0,0
1992_CGO,CGO,1992,0,0,0
1996_CGO,CGO,1996,0,0,0
2000_CGO,CGO,2000,0,0,0
2004_CGO,CGO,2004,0,0,0
2008_CGO,CGO,2008,0,0,0
2012_CGO,CGO,2012,0,0,0
2016_CGO,CGO,2016,0,0,0
1964_CHA,CHA,1964,0,0,0
1968_CHA,CHA,1968,0,0,0
1972_CHA,CHA,1972,0,0,0
1984_CHA,CHA,1984,0,0,0
1988_CHA,CHA,1988,0,0,0
1992_CHA,CHA,1992,0,0,0
